,LATITUDE,LONGITUDE,DATE,TIME,YEAR,ACCIDENT LANE,District,INTERSECTION,VICTIM,VICTIM AGE,VEHTYPE,DRIVACT,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,Cause,Neighbourh
206,43.765445,-79.19949,2011-07-24T04:00:00.000Z,1349,2011,Major Arterial,Scarborough,Intersection,Driver,65 to 69,"Automobile, Station Wagon", , , ,Yes, , ,Speeding,West Hill (136)
207,43.727339,-79.600063,2016-05-24T04:00:00.000Z,1350,2016,Major Arterial,Etobicoke York,Mid-Block,Driver,70 to 74,"Automobile, Station Wagon",Driving Properly, , ,Yes, ,Yes,Speeding,West Humber-Clairville (1)
208,43.738945,-79.57999000000001,2009-09-15T04:00:00.000Z,1400,2009,Major Arterial,Etobicoke York,Mid-Block,Pedestrian,75 to 79,Other, ,Yes, ,Yes, , ,Unknown,Thistletown-Beaumond Heights (3)
209,43.672345,-79.37689,2009-10-02T04:00:00.000Z,1400,2009,Major Arterial,Toronto and East York,Intersection,Pedestrian,40 to 44,Other, ,Yes, ,Yes, , ,Rain,North St.James Town (74)
210,43.701213,-79.251239,2017-04-06T04:00:00.000Z,1403,2017,Local,Scarborough,Intersection,Passenger,55 to 59, , , , , , ,Yes,Rain,Birchcliffe-Cliffside (122)
211,43.672345,-79.37959000000001,2008-03-15T04:00:00.000Z,1404,2008,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,25 to 29,Other, ,Yes, ,Yes, , ,Unknown,Rosedale-Moore Park (98)
212,43.664443,-79.34238,2015-04-20T04:00:00.000Z,1405,2015,Minor Arterial,Toronto and East York,Mid-Block,Pedestrian,30 to 34, , ,Yes, ,Yes, , ,Speeding,South Riverdale (70)
213,43.599353,-79.525653,2018-09-05T04:00:00.000Z,1405,2018,Local,Etobicoke York,Mid-Block,Pedestrian,50 to 54, , ,Yes, , , ,Yes,Unknown,Long Branch (19)
214,43.735335,-79.290637,2014-10-09T04:00:00.000Z,1410,2014,Major Arterial,Scarborough,Intersection,Cyclist,60 to 64,Bicycle, , ,Yes,Yes, , ,Unknown,Wexford/Maryvale (119)
215,43.65372,-79.37324100000001,2016-03-04T05:00:00.000Z,1411,2016,Major Arterial,Toronto and East York,Intersection,Pedestrian,30 to 34, , ,Yes, , , ,Yes,Unknown,Moss Park (73)
216,43.731806,-79.511264,2016-05-17T04:00:00.000Z,1414,2016,Major Arterial,North York,Intersection,Motorcycle Driver,30 to 34,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Downsview-Roding-CFB (26)
217,43.640692,-79.392284,2016-06-14T04:00:00.000Z,1415,2016,Minor Arterial,Toronto and East York,Mid-Block,Pedestrian,35 to 39, , ,Yes, ,Yes, , ,Speeding,Waterfront Communities-The Island (77)
218,43.760345,-79.30449,2009-09-19T04:00:00.000Z,1418,2009,Major Arterial,Scarborough,Intersection,Driver,85 to 89,"Automobile, Station Wagon",Failed to Yield Right of Way, , ,Yes, , ,Failed to Yield Right of Way,Wexford/Maryvale (119)
219,43.719248,-79.429813,2015-12-02T05:00:00.000Z,1419,2015,Major Arterial,North York,Intersection,Pedestrian,90 to 94, , ,Yes, ,Yes, , ,Unknown,Bedford Park-Nortown (39)
220,43.655574,-79.412013,2014-11-27T05:00:00.000Z,1420,2014,Major Arterial,Toronto and East York,Mid-Block,Passenger,90 to 94, , , , ,Yes, , ,Unknown,Trinity-Bellwoods (81)
221,43.770245,-79.54649,2012-05-15T04:00:00.000Z,1426,2012,Major Arterial,Etobicoke York,Intersection,Pedestrian,75 to 79,Other, ,Yes, , , ,Yes,Unknown,Humber Summit (21)
222,43.716109,-79.282733,2018-07-30T04:00:00.000Z,1427,2018,Major Arterial,Scarborough,Intersection,Pedestrian,65 to 69, , ,Yes, ,Yes, , ,Unknown,Clairlea-Birchmount (120)
223,43.764346,-79.574893,2012-01-30T05:00:00.000Z,1428,2012,Major Arterial,Etobicoke York,Intersection,Driver,75 to 79,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control, 
